phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action,internal
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/filesystem/#main","Skip to content","HTML anchor","200","https://kujo.robertdevore.com/course/filesystem/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/","K_ KUJO THE COURSE","HTML anchor","200","https://kujo.robertdevore.com/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/","Curriculum","HTML anchor","200","https://kujo.robertdevore.com/course/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/explorer/","Examples","HTML anchor","200","https://kujo.robertdevore.com/explorer/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/evidence/","Evidence","HTML anchor","200","https://kujo.robertdevore.com/evidence/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/what-is-kujo/","01 · What Kujo is","HTML anchor","200","https://kujo.robertdevore.com/course/what-is-kujo/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/setup-and-cli/","02 · Installation, CLI, and your first program","HTML anchor","200","https://kujo.robertdevore.com/course/setup-and-cli/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/bindings-and-mutability/","03 · Bindings, values, and mutability","HTML anchor","200","https://kujo.robertdevore.com/course/bindings-and-mutability/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/values-and-truthiness/","04 · Values, operators, and truthiness","HTML anchor","200","https://kujo.robertdevore.com/course/values-and-truthiness/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/control-flow/","05 · Control flow and block scopes","HTML anchor","200","https://kujo.robertdevore.com/course/control-flow/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/functions/","06 · Functions, callbacks, and return values","HTML anchor","200","https://kujo.robertdevore.com/course/functions/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/collections-and-pipelines/","07 · Collections, pipes, and null handling","HTML anchor","200","https://kujo.robertdevore.com/course/collections-and-pipelines/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/build-1/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-1/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/scope-and-capture/","08 · Scope, shadowing, and capture","HTML anchor","200","https://kujo.robertdevore.com/course/scope-and-capture/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/structs-and-enums/","09 · Structs and enums","HTML anchor","200","https://kujo.robertdevore.com/course/structs-and-enums/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/match-result-option/","10 · Match, Result, and Option","HTML anchor","200","https://kujo.robertdevore.com/course/match-result-option/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/exceptions/","11 · Exceptions and recoverable errors","HTML anchor","200","https://kujo.robertdevore.com/course/exceptions/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/optional-typing/","12 · Optional typing without imaginary guarantees","HTML anchor","200","https://kujo.robertdevore.com/course/optional-typing/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/async-and-await/","13 · Async functions and await","HTML anchor","200","https://kujo.robertdevore.com/course/async-and-await/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/bounded-concurrency/","14 · Spawn and bounded concurrent work","HTML anchor","200","https://kujo.robertdevore.com/course/bounded-concurrency/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/build-2/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-2/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/modules/","15 · Modules and explicit exports","HTML anchor","200","https://kujo.robertdevore.com/course/modules/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/projects-and-lockfiles/","16 · Projects, packages, and lockfiles","HTML anchor","200","https://kujo.robertdevore.com/course/projects-and-lockfiles/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/standard-library/","17 · Finding the standard library contract","HTML anchor","200","https://kujo.robertdevore.com/course/standard-library/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/testing/","18 · Testing, fixtures, and runtime evidence","HTML anchor","200","https://kujo.robertdevore.com/course/testing/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/machine-contracts/","19 · Diagnostics and machine-readable interfaces","HTML anchor","200","https://kujo.robertdevore.com/course/machine-contracts/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/documentation/","20 · Documentation as a build artifact","HTML anchor","200","https://kujo.robertdevore.com/course/documentation/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/editor-and-lsp/","21 · Editor integration and the LSP boundary","HTML anchor","200","https://kujo.robertdevore.com/course/editor-and-lsp/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/build-3/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-3/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/filesystem/","22 · Filesystem automation with bounded paths","HTML anchor","200","https://kujo.robertdevore.com/course/filesystem/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/processes/","23 · Processes without unnecessary shells","HTML anchor","200","https://kujo.robertdevore.com/course/processes/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/http-and-networking/","24 · HTTP and network boundaries","HTML anchor","200","https://kujo.robertdevore.com/course/http-and-networking/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/data-and-persistence/","25 · Structured data and local persistence","HTML anchor","200","https://kujo.robertdevore.com/course/data-and-persistence/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/capability-security/","26 · Trusted execution and minimum authority","HTML anchor","200","https://kujo.robertdevore.com/course/capability-security/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/secret-boundaries/","27 · Secrets, redaction, and endpoint policy","HTML anchor","200","https://kujo.robertdevore.com/course/secret-boundaries/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/build-4/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-4/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/ai-effects-and-messages/","28 · AI effects and portable messages","HTML anchor","200","https://kujo.robertdevore.com/course/ai-effects-and-messages/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/request-identity/","29 · Deterministic request identity","HTML anchor","200","https://kujo.robertdevore.com/course/request-identity/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/record-and-replay/","30 · Record, replay, and offline evidence","HTML anchor","200","https://kujo.robertdevore.com/course/record-and-replay/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/streaming/","31 · Streaming and cancellation","HTML anchor","200","https://kujo.robertdevore.com/course/streaming/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/structured-outputs/","32 · Structured outputs and schema validation","HTML anchor","200","https://kujo.robertdevore.com/course/structured-outputs/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/context-and-vectors/","33 · Context budgets, embeddings, and vectors","HTML anchor","200","https://kujo.robertdevore.com/course/context-and-vectors/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/tool-loops/","34 · Bounded AI tool loops","HTML anchor","200","https://kujo.robertdevore.com/course/tool-loops/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/build-5/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-5/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/mechanism-and-policy/","35 · Mechanism versus policy","HTML anchor","200","https://kujo.robertdevore.com/course/mechanism-and-policy/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/loop-engineering/","36 · Loop Engineering, specs, and stop conditions","HTML anchor","200","https://kujo.robertdevore.com/course/loop-engineering/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/evaluation/","37 · Evaluation independent of generation","HTML anchor","200","https://kujo.robertdevore.com/course/evaluation/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/evidence-and-handoffs/","38 · Evidence, run records, and work boundaries","HTML anchor","200","https://kujo.robertdevore.com/course/evidence-and-handoffs/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/isolation-and-observability/","39 · Isolation, observability, and watchdogs","HTML anchor","200","https://kujo.robertdevore.com/course/isolation-and-observability/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/mcp-interoperability/","40 · MCP and external tool interoperability","HTML anchor","200","https://kujo.robertdevore.com/course/mcp-interoperability/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/build-6/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-6/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/capstone/","◆ Final capstone","HTML anchor","200","https://kujo.robertdevore.com/capstone/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/","Full curriculum →","HTML anchor","200","https://kujo.robertdevore.com/course/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/examples/22.kujo","Download example","HTML anchor","200","https://kujo.robertdevore.com/examples/22.kujo","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/editor-and-lsp/","← Editor integration and the LSP boundary","HTML anchor","200","https://kujo.robertdevore.com/course/editor-and-lsp/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/course/processes/","Processes without unnecessary shells →","HTML anchor","200","https://kujo.robertdevore.com/course/processes/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/","K_ KUJO COURSE","HTML anchor","200","https://kujo.robertdevore.com/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/about/","About","HTML anchor","200","https://kujo.robertdevore.com/about/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/filesystem/","https://kujo.robertdevore.com/sitemap.xml","Sitemap","HTML anchor","200","https://kujo.robertdevore.com/sitemap.xml","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/processes/#main","Skip to content","HTML anchor","200","https://kujo.robertdevore.com/course/processes/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/","K_ KUJO THE COURSE","HTML anchor","200","https://kujo.robertdevore.com/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/","Curriculum","HTML anchor","200","https://kujo.robertdevore.com/course/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/explorer/","Examples","HTML anchor","200","https://kujo.robertdevore.com/explorer/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/evidence/","Evidence","HTML anchor","200","https://kujo.robertdevore.com/evidence/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/what-is-kujo/","01 · What Kujo is","HTML anchor","200","https://kujo.robertdevore.com/course/what-is-kujo/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/setup-and-cli/","02 · Installation, CLI, and your first program","HTML anchor","200","https://kujo.robertdevore.com/course/setup-and-cli/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/bindings-and-mutability/","03 · Bindings, values, and mutability","HTML anchor","200","https://kujo.robertdevore.com/course/bindings-and-mutability/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/values-and-truthiness/","04 · Values, operators, and truthiness","HTML anchor","200","https://kujo.robertdevore.com/course/values-and-truthiness/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/control-flow/","05 · Control flow and block scopes","HTML anchor","200","https://kujo.robertdevore.com/course/control-flow/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/functions/","06 · Functions, callbacks, and return values","HTML anchor","200","https://kujo.robertdevore.com/course/functions/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/collections-and-pipelines/","07 · Collections, pipes, and null handling","HTML anchor","200","https://kujo.robertdevore.com/course/collections-and-pipelines/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/build-1/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-1/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/scope-and-capture/","08 · Scope, shadowing, and capture","HTML anchor","200","https://kujo.robertdevore.com/course/scope-and-capture/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/structs-and-enums/","09 · Structs and enums","HTML anchor","200","https://kujo.robertdevore.com/course/structs-and-enums/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/match-result-option/","10 · Match, Result, and Option","HTML anchor","200","https://kujo.robertdevore.com/course/match-result-option/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/exceptions/","11 · Exceptions and recoverable errors","HTML anchor","200","https://kujo.robertdevore.com/course/exceptions/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/optional-typing/","12 · Optional typing without imaginary guarantees","HTML anchor","200","https://kujo.robertdevore.com/course/optional-typing/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/async-and-await/","13 · Async functions and await","HTML anchor","200","https://kujo.robertdevore.com/course/async-and-await/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/bounded-concurrency/","14 · Spawn and bounded concurrent work","HTML anchor","200","https://kujo.robertdevore.com/course/bounded-concurrency/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/build-2/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-2/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/modules/","15 · Modules and explicit exports","HTML anchor","200","https://kujo.robertdevore.com/course/modules/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/projects-and-lockfiles/","16 · Projects, packages, and lockfiles","HTML anchor","200","https://kujo.robertdevore.com/course/projects-and-lockfiles/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/standard-library/","17 · Finding the standard library contract","HTML anchor","200","https://kujo.robertdevore.com/course/standard-library/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/testing/","18 · Testing, fixtures, and runtime evidence","HTML anchor","200","https://kujo.robertdevore.com/course/testing/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/machine-contracts/","19 · Diagnostics and machine-readable interfaces","HTML anchor","200","https://kujo.robertdevore.com/course/machine-contracts/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/documentation/","20 · Documentation as a build artifact","HTML anchor","200","https://kujo.robertdevore.com/course/documentation/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/editor-and-lsp/","21 · Editor integration and the LSP boundary","HTML anchor","200","https://kujo.robertdevore.com/course/editor-and-lsp/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/build-3/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-3/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/filesystem/","22 · Filesystem automation with bounded paths","HTML anchor","200","https://kujo.robertdevore.com/course/filesystem/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/processes/","23 · Processes without unnecessary shells","HTML anchor","200","https://kujo.robertdevore.com/course/processes/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/http-and-networking/","24 · HTTP and network boundaries","HTML anchor","200","https://kujo.robertdevore.com/course/http-and-networking/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/data-and-persistence/","25 · Structured data and local persistence","HTML anchor","200","https://kujo.robertdevore.com/course/data-and-persistence/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/capability-security/","26 · Trusted execution and minimum authority","HTML anchor","200","https://kujo.robertdevore.com/course/capability-security/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/secret-boundaries/","27 · Secrets, redaction, and endpoint policy","HTML anchor","200","https://kujo.robertdevore.com/course/secret-boundaries/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/build-4/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-4/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/ai-effects-and-messages/","28 · AI effects and portable messages","HTML anchor","200","https://kujo.robertdevore.com/course/ai-effects-and-messages/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/request-identity/","29 · Deterministic request identity","HTML anchor","200","https://kujo.robertdevore.com/course/request-identity/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/record-and-replay/","30 · Record, replay, and offline evidence","HTML anchor","200","https://kujo.robertdevore.com/course/record-and-replay/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/streaming/","31 · Streaming and cancellation","HTML anchor","200","https://kujo.robertdevore.com/course/streaming/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/structured-outputs/","32 · Structured outputs and schema validation","HTML anchor","200","https://kujo.robertdevore.com/course/structured-outputs/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/context-and-vectors/","33 · Context budgets, embeddings, and vectors","HTML anchor","200","https://kujo.robertdevore.com/course/context-and-vectors/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/tool-loops/","34 · Bounded AI tool loops","HTML anchor","200","https://kujo.robertdevore.com/course/tool-loops/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/build-5/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-5/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/mechanism-and-policy/","35 · Mechanism versus policy","HTML anchor","200","https://kujo.robertdevore.com/course/mechanism-and-policy/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/loop-engineering/","36 · Loop Engineering, specs, and stop conditions","HTML anchor","200","https://kujo.robertdevore.com/course/loop-engineering/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/evaluation/","37 · Evaluation independent of generation","HTML anchor","200","https://kujo.robertdevore.com/course/evaluation/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/evidence-and-handoffs/","38 · Evidence, run records, and work boundaries","HTML anchor","200","https://kujo.robertdevore.com/course/evidence-and-handoffs/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/isolation-and-observability/","39 · Isolation, observability, and watchdogs","HTML anchor","200","https://kujo.robertdevore.com/course/isolation-and-observability/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/mcp-interoperability/","40 · MCP and external tool interoperability","HTML anchor","200","https://kujo.robertdevore.com/course/mcp-interoperability/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/build-6/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-6/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/capstone/","◆ Final capstone","HTML anchor","200","https://kujo.robertdevore.com/capstone/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/","Full curriculum →","HTML anchor","200","https://kujo.robertdevore.com/course/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/examples/23.kujo","Download example","HTML anchor","200","https://kujo.robertdevore.com/examples/23.kujo","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/filesystem/","← Filesystem automation with bounded paths","HTML anchor","200","https://kujo.robertdevore.com/course/filesystem/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/course/http-and-networking/","HTTP and network boundaries →","HTML anchor","200","https://kujo.robertdevore.com/course/http-and-networking/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/","K_ KUJO COURSE","HTML anchor","200","https://kujo.robertdevore.com/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/about/","About","HTML anchor","200","https://kujo.robertdevore.com/about/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/processes/","https://kujo.robertdevore.com/sitemap.xml","Sitemap","HTML anchor","200","https://kujo.robertdevore.com/sitemap.xml","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/course/http-and-networking/#main","Skip to content","HTML anchor","200","https://kujo.robertdevore.com/course/http-and-networking/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/","K_ KUJO THE COURSE","HTML anchor","200","https://kujo.robertdevore.com/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/course/","Curriculum","HTML anchor","200","https://kujo.robertdevore.com/course/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/explorer/","Examples","HTML anchor","200","https://kujo.robertdevore.com/explorer/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/evidence/","Evidence","HTML anchor","200","https://kujo.robertdevore.com/evidence/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/course/what-is-kujo/","01 · What Kujo is","HTML anchor","200","https://kujo.robertdevore.com/course/what-is-kujo/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/course/setup-and-cli/","02 · Installation, CLI, and your first program","HTML anchor","200","https://kujo.robertdevore.com/course/setup-and-cli/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/course/bindings-and-mutability/","03 · Bindings, values, and mutability","HTML anchor","200","https://kujo.robertdevore.com/course/bindings-and-mutability/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/course/values-and-truthiness/","04 · Values, operators, and truthiness","HTML anchor","200","https://kujo.robertdevore.com/course/values-and-truthiness/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/course/control-flow/","05 · Control flow and block scopes","HTML anchor","200","https://kujo.robertdevore.com/course/control-flow/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/course/functions/","06 · Functions, callbacks, and return values","HTML anchor","200","https://kujo.robertdevore.com/course/functions/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/course/collections-and-pipelines/","07 · Collections, pipes, and null handling","HTML anchor","200","https://kujo.robertdevore.com/course/collections-and-pipelines/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/build-1/","◆ Stage build","HTML anchor","200","https://kujo.robertdevore.com/build-1/","","reachable","","retain","true"
"baseline","https://kujo.robertdevore.com/course/http-and-networking/","https://kujo.robertdevore.com/course/scope-and-capture/","08 · Scope, shadowing, and capture","HTML anchor","200","https://kujo.robertdevore.com/course/scope-and-capture/","","reachable","","retain","true"
